2023-07-13 20:46:36.508822 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.509746 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.509775 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.510066 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.512152 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 288
2023-07-13 20:46:36.513415 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.513628 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.513749 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.514248 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.514507 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.516206 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 288
2023-07-13 20:46:36.516721 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.517022 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.517646 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.517679 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.517696 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.517922 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.519711 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.519762 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.520063 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.520395 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.521155 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.521429 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.521808 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.521838 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.522067 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.524029 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.524229 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.524567 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.525120 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.525147 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.525405 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.526263 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.526298 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.526345 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.526607 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.528383 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 288
2023-07-13 20:46:36.528861 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.529211 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.529579 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.530098 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.530125 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.530154 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.530374 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.532279 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.532309 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.532586 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.532940 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.533579 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.533772 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.533866 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.534527 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.534559 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.534764 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.536785 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.536818 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.537059 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.537236 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.537270 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.537478 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.537858 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.537877 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.538103 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.539023 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.539282 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.539302 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.539499 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.541656 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.541690 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.541917 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.542017 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.542428 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.542450 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.542736 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.543589 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.543910 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.543934 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.544158 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.546149 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.546180 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.546352 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.546414 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
2023-07-13 20:46:36.546523 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.546641 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.547334 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.547369 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.547578 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.548307 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.548342 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.548595 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.548873 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.548901 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 120
